Tesla,Meta,Amazon,Microsoft,CEMEX
189.559998,469.036163,169.839996,412.601379,7.953938
193.570007,467.150024,174.449997,419.017914,7.634983
188.130005,467.938416,172.339996,413.747223,7.764558
184.020004,459.176422,168.639999,404.839783,7.575179
188.710007,472.309448,170.979996,408.752716,7.545277
200.449997,483.037384,169.800003,405.828003,7.654918
199.949997,472.349335,169.509995,403.332489,7.804428
193.759995,470.782562,167.080002,402.064789,7.804428
194.770004,467.565765,168.589996,401.455872,7.924036
197.410004,485.647827,174.580002,410.908813,7.98384
191.970001,483.549896,174.990005,409.601196,8.123383
199.399994,481.262177,174.729996,406.806244,8.053612
199.729996,486.566895,173.539993,406.746338,7.934003
202.039993,483.539886,173.160004,406.985901,7.654918
201.880005,489.64386,176.759995,412.895264,7.615048
202.639999,501.801758,178.220001,414.751892,7.814395
188.139999,497.695862,177.580002,414.172974,7.724689
180.740005,489.733765,174.119995,401.925018,7.664885
176.539993,495.597931,173.509995,401.366028,7.83433
178.649994,511.681976,176.820007,408.403381,7.874199
175.339996,505.448181,175.350006,405.488617,7.884166
177.770004,483.110321,171.960007,403.791656,8.093481
177.539993,499.254303,175.389999,414.532288,8.053612
169.479996,495.078461,176.559998,414.352631,8.13335
162.5,491.342163,178.75,424.454407,8.43237
163.570007,483.619843,174.419998,415.670258,8.342664
173.800003,496.487061,174.479996,416.568634,8.282861
171.320007,495.747772,175.899994,420.651276,8.233024
175.660004,505.018585,178.149994,424.464386,8.402469
172.820007,507.256378,178.149994,428.596924,8.43237
170.830002,509.074554,178.869995,427.968048,8.561946
172.630005,502.521057,179.710007,422.098633,8.561946
177.669998,495.398163,178.300003,420.890808,8.77126
179.830002,493.370148,179.830002,420.671204,8.821097
175.789993,485.098358,180.380005,419.962494,8.980575
175.220001,490.86264,180.970001,423.805573,9.040378
166.630005,496.876678,180.690002,420.681213,8.990541
168.380005,506.237366,182.410004,419.692993,9.120116
171.110001,510.413239,180,417.127625,8.801162
164.899994,526.816956,185.070007,424.753845,8.77126
172.979996,518.734985,185.190002,423.825531,8.841031
176.880005,516.387329,185.669998,425.512482,8.731391
171.759995,519.314392,185.949997,422.497925,8.551978
174.600006,522.641052,189.050003,427.159515,8.711455
171.050003,511.392242,186.130005,421.140381,8.532044
161.479996,499.733856,183.619995,412.895264,8.372566
157.110001,499.264313,183.320007,413.833557,8.372566
155.449997,493.679871,181.279999,411.09848,8.153285
149.929993,501.302277,179.220001,403.542114,8.053612
147.050003,480.592834,174.630005,398.401398,7.963905
142.050003,481.252197,177.229996,400.238068,8.153285
144.679993,495.607941,179.539993,406.836182,8.242991
162.130005,493.010498,176.589996,408.323486,8.093481
170.179993,440.9422,173.669998,398.321533,8.153285
168.289993,442.850311,179.619995,405.58844,8.242991
