ent,sex,eda,nac_mes,nac_anio,cs_p12,cs_p13_1,cs_p13_2,cs_p15,cs_p16,n_hij,e_con,zona,salario,clase2,rama,c_ocu11c,dur9c,rama_est2,dur_est,d_ant_lab,d_cexp_est,niv_ins,anios_esc,hrsocup,ingocup,ing_x_hrs,imssissste,scian,t_tra,emp_ppal,sec_ins,,
14,2,49,8,1974,1,7,4,3,1,5,2,2,7468,1,4,1,6,9,4,0,0,4,16,40,14000,81.39535,1,16,1,2,7,,
14,2,36,12,1987,1,7,4,3,1,0,6,2,7468,1,4,6,6,8,4,0,0,4,16,40,0,0,1,12,1,2,2,,
14,2,46,1,1978,1,7,4,3,1,2,1,2,7468,1,4,7,6,7,4,0,0,4,16,48,0,0,4,8,1,2,4,,
14,2,55,99,1969,1,7,4,3,1,1,5,2,7468,1,4,2,2,6,2,0,0,4,16,4,4300,250,4,18,1,1,8,,
14,2,24,9,1999,1,7,1,3,2,1,5,2,7468,1,4,8,3,6,3,0,0,4,13,24,0,0,4,18,1,1,2,,
14,2,46,7,1977,1,7,5,3,1,4,6,2,7468,1,4,2,6,9,4,0,0,4,17,45,26000,134.36693,1,15,1,2,6,,
14,2,43,9,1980,1,7,5,3,1,2,5,2,7468,1,1,1,6,4,4,0,0,4,17,45,0,0,1,4,1,2,2,,
14,2,39,7,1984,1,7,4,3,1,0,6,2,7468,1,2,1,6,3,4,0,0,4,16,40,12000,69.76744,1,5,1,2,2,,
14,2,25,2,1999,1,7,5,3,1,0,6,2,7468,1,3,1,6,5,4,0,0,4,17,45,0,0,1,6,1,2,2,,
14,2,25,4,1999,1,7,5,3,1,0,6,2,7468,1,4,1,6,9,4,0,0,4,17,40,0,0,4,16,1,2,4,,
14,2,47,4,1977,1,7,5,3,1,0,6,2,7468,1,4,4,4,10,3,0,0,4,17,30,18060,140,4,19,1,1,4,,
14,2,29,8,1994,1,7,3,3,1,1,5,2,7468,1,4,1,3,8,3,0,0,4,15,20,0,0,4,14,1,2,4,,
14,2,33,10,1990,1,7,4,3,1,1,5,2,7468,1,4,1,4,9,3,0,0,4,16,32,0,0,1,16,1,2,7,,
14,2,27,1,1997,1,7,4,3,1,0,6,2,7468,1,4,1,4,8,3,0,0,4,16,30,12000,93.02326,4,12,1,1,8,,
14,2,23,3,2001,1,7,4,3,2,0,6,2,7468,2,0,0,0,0,0,1,2,4,16,0,0,0,0,0,1,0,0,,
14,2,24,5,1999,1,7,1,3,2,0,6,2,7468,1,4,2,2,10,2,0,0,4,13,12,0,0,4,17,1,1,8,,
14,2,44,11,1979,1,7,5,3,1,2,5,2,7468,1,4,1,6,9,4,0,0,4,17,40,0,0,1,16,1,2,7,,
14,2,26,9,1997,1,7,4,3,1,0,6,2,7468,1,4,1,6,9,4,0,0,4,16,40,9000,52.32558,1,15,1,2,7,,
14,2,25,6,1998,1,7,2,3,2,0,6,2,7468,1,4,8,6,10,4,0,0,4,14,48,12900,62.5,3,19,1,2,9,,
14,2,52,99,1972,1,6,2,2,1,0,6,2,7468,1,4,4,6,8,4,0,0,3,11,48,9460,45.83333,1,12,1,2,4,,
14,2,25,99,1999,1,7,2,3,2,0,6,2,7468,1,4,8,3,6,3,0,0,4,14,24,8600,83.33333,4,18,1,1,4,,
14,2,24,99,2000,1,7,2,3,2,0,6,2,7468,1,4,1,4,8,3,0,0,4,14,32,0,0,4,12,1,1,8,,
14,2,19,99,2005,1,7,2,3,2,0,6,2,7468,1,4,1,4,8,3,0,0,4,14,32,0,0,4,12,1,1,8,,
14,2,42,1,1982,1,7,5,3,1,2,1,2,7468,1,4,2,1,9,1,0,0,4,17,0,24000,0,2,15,2,2,7,,
14,2,21,8,2002,1,7,2,3,2,0,6,2,7468,1,4,8,3,10,3,0,0,4,14,15,6450,100,4,19,1,1,9,,
14,2,53,3,1971,1,7,4,3,1,1,5,2,7468,1,3,6,6,5,4,0,0,4,16,48,0,0,4,7,1,1,8,,
14,2,29,5,1995,1,7,4,3,1,0,6,2,7468,1,4,1,5,9,4,0,0,4,16,36,0,0,1,16,1,2,6,,
14,2,31,8,1992,1,7,4,3,1,0,1,2,7468,1,4,2,4,9,3,0,0,4,16,25,11000,102.32558,1,15,1,2,7,,
14,2,32,11,1991,1,7,5,3,1,2,5,2,7468,1,3,6,3,5,3,0,0,4,17,21,0,0,4,7,1,1,8,,
